mes,coluna,codigo_produto,op,qtd_planilha,data_planilha,ct_totvs,nome_ct,data_apont_totvs,qtd_apont_totvs,apontado_ct70
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-23,CORTE/APLICAÇÃO AUTOMATICA,2025-12-17,1800,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-12,1300,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-12,1300,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-12,800,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-12,100,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-12,100,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-15,MONTAGEM UCW,2026-01-12,1600,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-23,CORTE/APLICAÇÃO AUTOMATICA,2026-01-12,6000,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-23,CORTE/APLICAÇÃO AUTOMATICA,2026-01-12,4200,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-13,1000,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-13,3700,Não
Jan,DJ,50233616,24184601001,12000,2026-01-13,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-13,2100,Não
Jan,EL,50233615,24184701001,12000,2026-01-14,CT-23,CORTE/APLICAÇÃO AUTOMATICA,2026-01-12,12000,Não
Jan,EL,50233615,24184701001,12000,2026-01-14,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-13,2200,Não
Jan,EL,50233615,24184701001,12000,2026-01-14,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-13,2700,Não
Jan,EL,50233615,24184701001,12000,2026-01-14,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-13,2400,Não
Jan,EL,50233615,24184701001,12000,2026-01-14,CT-08,MONTAGEM NOVOS NEGOCIOS,2026-01-13,100,Não
